image,Pepperoni,Bacon,Mushrooms,Onions,Peppers,Black olives,Tomatoes,Spinach,Fresh basil,Arugula,Broccoli,Corn,Pineapple
00002.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00003.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00006.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00008.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00009.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00010.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00012.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00014.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00015.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00016.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00020.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00021.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00022.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00024.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00027.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00029.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00030.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00031.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00032.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00033.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00035.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00039.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00040.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00041.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00043.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00044.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00045.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00047.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00048.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00049.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00050.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00053.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00054.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00059.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00061.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00062.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00064.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00066.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00069.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00071.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00072.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00074.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00075.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00076.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00079.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00080.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00082.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00083.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00085.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00086.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
